sample	raw_reads	trimmed	mapped_chr01	map_rate
BL1728-5	241537	239332	40950	17.1%
BL1709-3	205288	201757	37706	18.7%
BL1728-2	190559	188204	30279	16.1%
BL1704-4	187620	185201	33319	18.0%
BL1709-6	179260	175936	30570	17.4%
BL1712-2	178591	176450	28997	16.4%
BL1709-2	169081	167246	27887	16.7%
BL1731-3	146214	144585	27187	18.8%
